Topic,Count,Name,Representation,Representative_Docs
34,58,34_4c hair_hair just_people hair_hair money,"['4c hair', 'hair just', 'people hair', 'hair money', 'did hair', 'hair didn', 'hair', 'lightened', 'hair doesn', 'hair does']","['did not work on my hair', 'Can’t get this to work for my hair', 'It didn’t work for my hair…']"
35,58,35_hair product_product did_salon_hair dye,"['hair product', 'product did', 'salon', 'hair dye', 'hair purple', 'hairspray', 'hair color', 'dyed', 'hair makes', 'purple hair']","['Horrible!!! Turned my hair purple.', 'Horrible I had purple and silver hair tride to lighten it up with the product and it turned my hair green blue. Now I’m on my way to a salon to fix it. Never buying this again', 'Horrible I had purple and silver hair tride to lighten it up with the product and it turned my hair green blue. Now I’m on my way to a salon to fix it. Never buying this again']"
36,57,36_skin pretty_cut felt_piece skin_cut skin,"['skin pretty', 'cut felt', 'piece skin', 'cut skin', 'cuts terrible', 'replacements don', 'scissors', 'tear hair', 'cuts', 'cuticle']","['not sharp.', 'The scissors do not cut hair. Too dull. Will return promptly', 'If anyone follow and read my reviews can say I am very fair and pretty through. I almost never give a 1 star. This cuticle cutter first of all does not look like the picture with the common 1 slant middle guide. It has a v shape guide that catched and locks thus not allowing for a steady and consistent trim. I had to stop unclick then cut and repeat. My normal Revlon trimmer does a better job even after yrs of owning it and it not being very sharp any longer. I got so agrivated I tossed it in the trash and ordered 2 different brands. In the meantime,  my Revlon will do what I need which is to simply trim my thick cuticles.  That thing left chips of skin all choppy on top of the cuticle. Stick with the standard 1 guard guider and I think most trimmers will cut nicely without the sticking each time it closes. First time ever seeing one like this. The picture does not show that, rather it shows the standard 1 bar guide. Such a waste of money.']"
37,57,37_long hair_hair hope_short hair_sucks,"['long hair', 'hair hope', 'short hair', 'sucks', 'product', 'gel', 'hard use', 'curl long', 'hair', 'okay']","[""This product smells good and makes my hair feel soft but I was very disappointed with is curl enhancing abilities. I have frizzy wavy hair with more curls by my neckline than all over. So i bought this hoping, like some products, that it would enhance and encourage my curls throughout but without the hard crunchy effect. It did not do that. So I think people would love this product if they want a light soft frizz free curl that don't need any help getting more curls out of your hair. Hope this helps!"", 'Do not curl', 'They were not a L curl']"
38,56,38_super crappy_really bad_tangled buy_odor plastic,"['super crappy', 'really bad', 'tangled buy', 'odor plastic', 'worse hair', 'tangled badly', 'badly', 'tangle badly', 'hair terrible', 'gets tangled']","['Hair tangles easily and too much', 'Hair tangles within the first day', 'Hair tangles']"
39,55,39_flexible_extremely flimsy_care product_instructions didn,"['flexible', 'extremely flimsy', 'care product', 'instructions didn', 'flimsy', 'instructions followed', 'tried don', 'doesnt hold', 'flimsy cheap', 'follow instructions']","[""Doesn't stay in place. It didn't work."", 'Will not stay on', 'Will not stay in place.']"
40,53,40_unusable glue_reviews mentioned_elastic nice_stretched,"['unusable glue', 'reviews mentioned', 'elastic nice', 'stretched', 'like ripping', 'fall apart', 'quality disappointing', 'designs look', 'thinner', 'easily stretches']","['Elastic is to thin.', 'Not as pictured.  I looked at every option to find the packages that had a metal band around the elastic.  None of the packages have the metal band as in the pictures.  ALSO, the elastic is stretched out and very weak.  Too weak to work.  In short, they are junk!!', ""(1) pin was bent; (2) Even if pin was straight the screw device holding the pin was skewed so pin couldn't go straight into the band  (See photo); (3) Even if pin could go straight the platform holding the band could not go up high enough to align the band slot with the pin - it rubbed up against the collar on the pin. (4) Pins were very weak, broke 3 of them trying to jury-rig the device so it would work.<br />Device is not suited for its purported purpose.<br />In sum, do what I did: get a small drill bit and tap it with a light hammer to remove the pin.""]"
41,49,41_scalp break_cotton swab_stretch elastic_stretch,"['scalp break', 'cotton swab', 'stretch elastic', 'stretch', 'soften', 'soft does', 'swab', 'pad toner', 'says cotton', 'soft hardly']","['I bought these to use for toner and micellar water, but they’re not absorbent at all, the product just beads up and rolls off. Super disappointing. Also, the title of the listing says cotton, but the description says they’re bamboo, that seems unnecessarily confusing.', 'I ordered these on April 13, 3019 specifically because they were advertised as cotton. Just received them today (May 6) and came to write a review that they are most definitely not cotton. I see they changed the ad title from cotton to chiffon.  Appropriate going forward but I wonder how many others like me and the prior reviewer were duped as well.  Fine schruncies if you were looking for chiffon. Not if you wanted cotton. Like I waited over 3 weeks to find out.', 'These are precisely the type of cotton swab I did not want.  They are expensive.  From reading the description, I thought I was buying a 3-1/2 inch swab with a paper shaft.  These are 3 inches. The shafts are thin plastic.  The cotton swabs are small, hard and very tight rather than soft and full.']"
42,49,42_make hair_fine hair_hair look_hair,"['make hair', 'fine hair', 'hair look', 'hair', 'shampoo hair', 'oil hair', 'hair shampoo', 'hair sure', 'hair worse', 'washing hair']","['When it arrived, it wasn’t the shampoo and conditioner were two different types. The shampoo wasn’t the multi-toning. Tried it out and it wasn’t great. Also, the conditioner was damaged.', 'I bought this shampoo in conjunction with the conditioner and the serum.  While I have no issues with the serum, the shampoo and conditioner were a huge disappointment, especially in light of all the rave reviews.  The shampoo did in fact lather nicely and clean my hair, it did nothing for the dryness or color.  In fact, despite being labeled for dry hair, it was significantly a worse performer in this area than even my general-use shampoo.  My hair seemed more dry and had less control / more flyaway hair strands than before use.  (I have used it for two weeks which is ample time to see results). Do not waste your money.', ""A couple of years ago my hair was in rough shape from bleaching and coloring. I found out about Olaplex shampoo. After a couple of weeks of using the shampoo my hair was in such improved condition I was seriously impressed. So I invested in the No. 5 conditioner. It was okay, but really no more effective than any decent conditioner. After a few months, I had had a hair cut, continued using Olaplex No. 4 shampoo, and my hair was in pretty healthy shape. But, I figured I could make it even healthier by using the No. 0 and No. 3 method. The first time I did it I didn't notice anything, at all. So I thought I'd try it again. Nothing. A few weeks later (considering the availability of the trial sizes) I gave 0 and 3 another try. That time my hair was dry, rough, and flyaway. Anything but sleek and well-bonded. As for the No. 8 mask, again, nothing outstanding. The take-away: I love Olaplex shampoo, both the regular and their purple for blondes shampoo. As for the rest of the Olaplex line of products, I am not at all impressed. They are so pricey, but tend to either do nothing or damage rather than repair. Aside from the shampoo, I'm calling Olaplex way overrated.""]"
43,49,43_packages hair_tape hair_quality hair_beads hair,"['packages hair', 'tape hair', 'quality hair', 'beads hair', 'hair different', 'love hair', 'wavy', 'salon', 'hair', 'natural hair']","['Do not use with extensions.  Pulled them out.', 'I have purchased Sunny bonded hair extensions probably 12 times over the last 6 years or so. It was my go-to brand for keratin tip extensions because the hair was such good quality.  You could never tell the beautiful hair wasn’t naturally my own.  Unfortunately, my most recent purchase of Sunny extensions will be my last.<br /><br />The hair used to be such great quality that it could be installed and worn for 4+ months (if maintained and cared for properly).  This most recent purchase of 4 boxes is horrible - each extension is thick at the bond but has so much breakage throughout that it’s very thin on the end.  It’s very frizzy, tangles easily and sheds like crazy. I’ve only had them in for 2 1/2 weeks and the bonds are slipping out left and right.  It’s very embarrassing. The hair is too frizzy for me to wear down, so a braid or bun is the only option.  I would take them out but I’ve already wasted 5 hours installing them and about $200, so i guess I’ll just wait for the rest to fall out and then try a new brand.<br /><br />I am really really disappointed at the decline in quality of these extensions.', 'Initial Review- I really wanted to like these extensions. I have been a hair extension user for over two years. I am experienced in taking good care of my extensions. My favorite extension company recently raised their prices. I found these, LaaVoo, while looking for a similar but lower priced product. I was pleased with the quality of the hair when it arrived.  The hair is real as described and the color was exactly what I wanted. The product arrived the 15th and 16th of September. I installed it on Saturday, September 18th. Installation went well. The first two weeks after installation everything was perfect. A little after 2 weeks I began to loose strands. The bonded tips (glue) were falling apart, the strand would fall out leaving the installation bead and the strand wire tip in my natural hair. I had half a pack left from my initial installation and I replaced the fallen strands with new ones. It has been approximately 6 weeks now and I have been replacing strands almost daily. More need replacing the more time goes by. I am very disappointed in how the product has held up. Other products have lasted me 3-4 months! I contacted LaaVoo Service Team using the information listed on their business card inside the product box. I explained the issue  and they directed me back to amazon as that is where I bought them. The return window just closed and amazon can no longer help me. I am not happy and will not be purchasing again. If you want temporary extensions, these will do fine. If you\'re looking for a long lasting (3 months) quality product, this is not for you. (photo shows bonded tips that fell apart)<br />12/05/21 Update- Within a day or two of my initial review, I was contacted via amazon message service by the company. Remember, I initially contacted them for help and they denied me. The representative stated that they were eager to help but to do so I would need to email them using my private email. Very sneaky. This way amazon would not see that there are conditions of their ""help"". You must change your low rating to 5 stars and then you will get your replacement. I have saved all my emails from them in order to prove my statement. I had bought 3 packs, they sent me 1 replacement pack and 2 sets of mink eyelashes which I had said I didnt want. I used the replacement pack to replace the strands that fell out each week. The strand bonds continued to deteriorate and fall apart leaving the metal tip and bead in my hair after 2-3 weeks. I remain steadfast in my initial review. The hair seems to be of good quality, but the bonds do not last more than 3 weeks. I have followed all care instructions and use quality products to care for my extensions. I am an experienced extension user. I have gone back to my original more expensive brand as they last 3-4 months with proper care. I cannot in good conscience leave the 5 star rating I was coerced into providing. The product does not deserve it. The practice of making one change their rating to get replacements is shady and misguiding. Yes, I got a replacement pack, but it was of the same poor quality as my initial order. Shame shame.']"
44,49,44_ones purchased_stay flimsy_works strong_flimsy way,"['ones purchased', 'stay flimsy', 'works strong', 'flimsy way', 'flimsy difficult', 'really flimsy', 'use flimsy', 'flimsy like', 'flimsy', 'strong']","['too flimsy', 'Too flimsy', 'Too flimsy.']"
45,49,45_quality hair_hair tangled_bought hair_hair like,"['quality hair', 'hair tangled', 'bought hair', 'hair like', 'hair horrible', 'hair terrible', 'worst hair', 'horrible hair', 'picture hair', 'hair barely']","['Horrible quality hair. I’ve purchased from this company multiple times before & the hair was fine . Im assuming this company has gotten a new vendor . The hair was shedding in large amounts by the second week of it being installed, very tangled overall horrible.', ""Let me tell yall I buy hair like a habbit. Try all but love water wave and straight the most, but anyways I've purchased this on a whim when purchasing this hair price was great ,for the buy yeah to good to be true it wasnt like the pic the length wasn't true one smelled like barbie doll hair. Puffy and frizzy , but didn't return didn't have time but this hair was not what  was displayed. Even when wet look like plastic. Bad bad buy made me think I need to just stop bying  anymore hair you get played with these deals. Well with the salesman I received this hIr from. Bad hair ."", ""If you're looking for cheap hair to a quick style that you will not keep in long, this is your hair.. if you're looking for something to last longer then a few days.. KEEP LOOKING!!!<br />I never buy straight hair, but decided to try it.. this hair was so thin I had to cut half of it off to make it look decent. I even added extra tracks. I had so many tracks in my head and still had a stingy ponytail..  I washed this hair out my head 5 days later because it was so bad...<br /><br />This hair doesn't have a smell at all. I co-washed it NO nasty brown chemical...<br />It DOES SHED VERY BAD..<br />Its definitely not 10a""]"
46,48,46_mannequin brush_dry ends_stylist told_started shedding,"['mannequin brush', 'dry ends', 'stylist told', 'started shedding', 'texture ok', 'money hair', 'hair gone', 'month hair', 'processed', 'hair shedding']","['This hair sheds an awful lot.', 'Hair sheds extremely...', 'It sheds.']"
47,47,47_gap hair_hair clip_poorly clips_product clips,"['gap hair', 'hair clip', 'poorly clips', 'product clips', 'half clips', 'stay clipped', 'immediately hair', 'extremely loose', 'clip better', 'banana clips']","['Clip broke off immediately', 'the clip broke as soon as i touched it. I will replace the clip .. other than that cute.', 'So disappointed. I’ve owned and loved the Camila AD 718 size 3.5 claw clip for years and have a hard time finding clips for my thick hair that don’t break. After receiving this, I immediately went to try it and bam, one side of the hinge came out.  I can’t fix it or use it and it’s too much hassle to return it. I would not recommend this clip at all and frankly will not purchase any product from Camila Paris again. I was expecting better quality product than the usual drug store hair clip considering the price, but I think this was actually worse!']"
48,47,48_quality fabric_wrinkles_looks terrible_materials,"['quality fabric', 'wrinkles', 'looks terrible', 'materials', 'packaging looks', 'terrible quality', 'eye shadow', 'small diameter', 'small light', 'tiny like']","['Smaller than expected and no spray top', 'Smaller than expected.', 'Smaller than expected.']"
49,47,49_does hot_felt cheap_unintentionally_does,"['does hot', 'felt cheap', 'unintentionally', 'does', 'heating cap', 'gets hot', 'close used', 'does warm', 'doesn', 'does work']","['Temp not hot enough', 'does not get hot enough to do anything. also does not seem consistent with heat.', 'Doesn’t heat up enough']"
50,46,50_hair received_received hair_quality expected_cheap hair,"['hair received', 'received hair', 'quality expected', 'cheap hair', 'black hair', 'synthetic hair', 'hair look', 'hair super', 'hair quality', 'quality hair']","['The hair is not the same color. Two of the bundles was the same color and one bundle was a lighter brown. Not enough hair on the bundles.', 'Honestly if you worked with synthetic hair before, you will know this hair isn’t the best but it isn’t the worst. It falls right in the middle. I ordered 14 packs of hair from this vendor- a 7pack of 14 inches and a 7 pack of 18 inches. I had planned to do the extended loc style that’s trending right now. I specifically wanted straight locks so this vendor was one of the few on Amazon who had straight locks with no kind of curl which is why I ordered from them. I managed to do 80% of my hair but now I need about two packs of each to finish the look because I don’t have enough strands to make the hair look really full (when trying the style out some of the strands unraveled on me). This vendor would not work with me and let me buy four packs of hair instead of ordering seven. I wouldn’t have been upset if they told me I would still have to purchase seven and pay for the full 7 but I can still pick whatever inches I need it but they just flat out refused to budge. Customer service is knowing that sometimes your customers might need additional or custom assistance. I can’t just order one pack of hair from other vendors on here because I specifically ordered from this vendor  because they had straight hair. So if you plan on purchasing this hair, don’t make any mistakes because this company will not work with you or let you buy an individual pack or customize your own lengths of hair. If you are someone who needs individual packs of straight hair because maybe you need it for maintenance, to fill in the spots, to make your hair look full, just go to Aliexpress because they care about customer service there. They don’t individually packed their hair anyways you get all seven bundles in *ONE* big bag so it’s not like they cannot put three packs of 14 and four packs of 18 in one bag because they don’t individually package their bundles. Thank you for talking yourself out of a customer. I won’t purchase from them again.', ""The hair itself seems to be thick bundles because the thickness of the wefts when it's rolled up together. When I rolled the hair out. I immediately noticed the hair is super thin not just at the ends but it's only a decent amount of thickness 1/3 of the way down. I needed to put a sew in in my hair for the week so I went ahead and used the hair but I had to double the tracks to make a semi full track. The overall style looks super thin and I used 2.5 bundles. I usually use 2 bundles for a natural look.<br /><br />If I use the hair again, I'll probably make a u part so I can get more tracks in and make it fuller.""]"
51,46,51_product wrong_product amazing_product cotton_product,"['product wrong', 'product amazing', 'product cotton', 'product', 'product gets', 'waste money', 'star product', 'doesn peel', 'waste bucks', 'quality order']","['I would have given a NEGATIVE five if there was such a thing. One star is too much for a product that goes straight to the trash bin. The silicon piece would not stick at all. It peeled off the double sided tape it was sitting on right after I put it on the nose piece and I ended up having double sided tape sticking to the nose piece and earned the trouble to clean it off.', 'Not much to like about this product. I idea/concept is great but the product sucks.  I wished I would have listened to others saying don’t buy, waste of money. They were not lying & I am not either. I gave 1 star because I don’t think you can give zero stars.', 'Bought this for our toddlers. Initially was turned off by the smell, very strong rubbing alcohol scent probably from whatever is in it to make it a clear gel. That wasn’t the greatest but isn’t the main reason for the 1 Star.<br /><br />The reasons this gets a 1 Star is:<br /><br />- all three of our girls complained that the sunscreen was stinging everywhere it was applied. They don’t complain with other brands so this was definitely unusual.<br /><br />- after it was applied and dried, the sunscreen left a film on all of our three girls skin. In addition some of the sunscreen started peeling off in little balls that felt rubbery.<br /><br />Because of these issues we won’t be using it again.']"
52,43,52_product gives_bottle ok_thought doesn_brand didn,"['product gives', 'bottle ok', 'thought doesn', 'brand didn', 'product did', 'best product', 'literally does', 'really hate', 'did best', 'product dark']","['I wish it had instructions in english.', 'No instructions', 'Well, I might love it instead of hate it. If it came with instructions. Got a box with this wand in it. No instructions at all']"
53,43,53_product poorly_reviews ended_lasted long_head fine,"['product poorly', 'reviews ended', 'lasted long', 'head fine', 'fine product', 'product useless', 'useless product', 'quality horrible', 'horrible quality', 'worth bad']","['Not good Quality', 'Not good quality', 'Not good quality']"
54,43,54_try_ve issues_paid_remove,"['try', 've issues', 'paid', 'remove', 'mistake', 'ordered', 'removed', 'packaged', 'try rid', 'return']","[""These wipes are okay to use when your hands are feeling soiled. They're saturated and well stay pretty wet for a few minutes or so.  Unscented and doesn't leave my hands dry or sticky. The size of the wipe is a little smaller compared to other hand wipes. The wipes do have phenoxyethanol, which can contain trace amounts of 1, -dioxane (carcinogen) but apparently it's safe at low levels (FYI). It's stated on the box that they try to be zero waste, but honestly... not really. They come individually packaged in a plastic bag and in a box, which are both not biodegradable. It would've been better if the wipes came all together in one packet instead of individual packs. It would've reduced some waste. The wipes are expensive at $.90 each. Not worth it in my opinion."", ""I wear waterproof everything and there are lanyards wipes that can't take it off, these are added to that list. I usually buy the neutrogena wipes because they are the only ones that actually work, but I don't like the residue feeling they leave after. Reason why I have been trying to find other wipes, but these aren't it. First when they were delivered, they and inside package was wet all over. Wipes barely removed any makeup and seemed dry. There is a light pleasant scent. I guess you could use them just to wipe your face and body to feel refreshed, but dont expect them to do much more."", 'The wipes feel a little on the dry side and doesn\'t work as well as other wipes I have tried in the past. With these wipes, they leave streaks and you have to constantly keep wiping to try to rid of the streaks and clean your computer screen and glasses. The wipes ""cleaning agent"" also don\'t fade away immediately like other wipes do. Instead, it lingers for about 10 seconds give or take, versus other wipes, they begin to fade almost immediately.']"
55,42,55_finger product_wrinkles_skin_skin bit,"['finger product', 'wrinkles', 'skin', 'skin bit', 'used plenty', 'immediately wash', 'nasty', 'makeup oily', 'easy product', 'product']","['I bought this to see what it was all about. The first night I tried it when I got it and used a brush to apply, it went on ok but I looked pale it was not blending. So this morning I tried it again and used my fingers to apply. Now keep in mind I wash my hands with soap and warm water and my face with face wash before applying makeup to keep the oils from my hands getting on my face and to keep my face clear!<br />So again I used my fingers to apply and apparently this foundation thinks I’m the Hulk or something because it instantly turned green! Yes GREEN! I’ve even attached a pic of my makeup wipe after I washed it off! It’s in the white sink so it’s not my counter top showing through the towelette! DONT USE THUS PRODUCT UNLESS YOURE DRESSING UP FOR HALLOWEEN AS THE HULK! Not worth the $ or the aggravation it’s caused my skin! It’s wiped off filthy and nasty! I can’t believe people are expected to put this on their face!', 'Extremely disappointed. I thought I was finally going to get my hands on organic make up. I was SO excited to try this on. Once I tried it on, it was like i literally put nothing on my face. And when I mean nothing, I literally mean with all the powder I put on, my cheeks were still showing imperfections, and it was like the powder foundation I applied was literally invisible. This was so disappointing to me, I was willing to buy so much from this brand, but the foundation would have been my first run around to see if it was a go or not. I finally thought I was going to find make up that was truly clean of nasty chemicals. I had to stick to my Bare Minerals as that powder foundation a little goes a long way. Glad it worked for everyone else though.', 'Meh. This product was just ok. Most of my foundation was absorbed into the brush head and I didn’t feel like it helped put my makeup on with ease. I felt like I was scrubbing my face to get my foundation on. I can’t think of any product that this would be good to apply with? I don’t feel like the product itself is “bad” but it is not good to apply liquid foundation with in my opinion!']"
56,42,56_product garbage_product cheaply_success product_misleading products,"['product garbage', 'product cheaply', 'success product', 'misleading products', 'try review', 'contact amazon', 'product glue', 'tint dried', 'good glue', 'unusable glue']","['Glue was dried out and rubber like products was not able to be used since glue is required', 'It is supposed to come with glue and there was no glue!', ""I recently purchased this product and it was a terrible experience!! I used this glue to lay down my wig and followed the instructions and it didn't work. I wasted my money on this product and the partner product, the Essha glue spray removal, smells terrible and isn't safe. I refuse to waste my money on misleading products promising that it will last through humidity, water, etc, when it obviously didn't. I didn't last through my gym workout. I felt embarrassed having white residue along my face. Ghost bond is a better hair glue!""]"
57,42,57_stuff_going wear_original_clothing,"['stuff', 'going wear', 'original', 'clothing', 'different tried', 'lasts', 'just', 'strong', 'truly', 'thanks']","[""Totally agree with the other posters.  This perfume was not the same as the ones bought directly on the island.  This was much lighter in color - hardly any color at all - and it had a strong alcohol smell and just a little of the lovely vanille.  With all the other bottles purchased at Ligne on the island, the color was deeper and one spritz was all you needed to last all day!  I tried this for a couple days before I decided to return it for a refund.  I couldn't smell it after a couple hours.  Totally different.  I did purchase the body lotion and it has more fragrance than the perfume."", ""I remembered the fragrance from years past and love the scent. However this cologne's scent while the same fragrance I loved, does not last more than 5 minutes. I have order the perfume to see if it lasts longer. Shame. Such a lovely perfume."", ""This perfume smells the same as Lust. I was expecting it to smell different from Lust. Will not buy Sex In the City perfume again. This perfume is a cheap smell but if you can't afford a 20 dollar perfume; sex in the city perfume is a good perfume. You just have to watch what you buy.""]"
58,41,58_order good_eyelashes came_mascara wand_months,"['order good', 'eyelashes came', 'mascara wand', 'months', 'month', 'product loved', 'product lashes', 'mascara', 'got lashes', 'product expecting']","['I bought this after reading a review elsewhere that it was effective. I accidentally cut two of my eyelashes when taking off fake eyelashes :(. I have been using this for a month now, and I feel my lashes are thicker, but not longer, which is really what I was hoping for. On the bright side, The product isn’t irritating and easy to use. I’ve used it religiously morning and night, but I’m not overly impressed. I think I’m going to return and try Rory or latisse. For the price of this product, I was expecting more noticeable results.', ""I was looking forward to trying this mascara to boost my lashes. Unfortunately I was not sold on this product. I felt like it clumped my lashes together making it look like spider legs on my eyes. It doesn't separate the lashes to give them a fuller look. I didn't find it to make my lashes look fuller or longer. The eye on the right is with the mascara and the eye on the left is without product."", ""My longest lashes all fell out and I'm left with my original thin and stubby ones. I've used Lilash for many years, and was SO sad when they left the USA and now they don't ship here. It is expensive, but WOW it works. I had purchased several tubes when I got the sad news, but sadly, my stock is now gone. This has left me in the position of now finding a new lash and brow growth product. I saw some positive reviews of this, so I gave it a shot. Unfortunately, as soon as I started using it, my gorgeous super thick and double long lashes all started falling out and getting thinner and shorter, and shorter still. My brows are thin, fine and lighter in color. I continued to use it, hoping that it just worked through another mechanism and they would grow back, but that has not happened. I'm SO SAD! I really want some higher quality eyelash serum choices.....""]"
59,41,59_cream used_try cover_weeks worked_cream,"['cream used', 'try cover', 'weeks worked', 'cream', 'patches', 'allergic', 'eye cream', 'itchy irritated', 'prescribed', 'left cream']","['Careful...it really burns your eyes if you get any into your eyes', 'I used these patches for 3 days in a row, when I put them under my eyes I had unpleasant burning sensations, after I took them off my eyes and the area around my eyes itched for a long time and there was a strong dryness of the eyes and the skin around my eyes. I will no longer use these patches.', ""I've had problems with puffiness and dark circles under my eyes forever so I was excited to try this but unfortunately, the moment this touched my skin, the skin under my eyes puffed up twice the normal size. I won't be able to use this obviously, so I'm going back to my Say Yes to Grapefruit eye cream and the Say Yes to Blueberries eye cream at night.""]"
60,41,60_disappointing product_bottles worked_ripped seam_lasting long,"['disappointing product', 'bottles worked', 'ripped seam', 'lasting long', 'barely use', 'doesn roll', 'broke', 'ripped', 'bought recommend', 'tried fix']","['I had to re sew the zipper!', ""Bought it for traveling. The bag ripped at where the zipper was attached to the plastic on the day I packed for my overseas trip. Tried to fix with super glue which kind of worked but fell apart again when I took it with me. The bag actually still has more space even with the hand sanitizer that was bought later (after rip). The rip is just getting wider and I'm on day 2 of my 2 week overseas trip..."", 'Zipper already broke. :(']"
61,39,61_coating_gift disappointed_glide hair_coating just,"['coating', 'gift disappointed', 'glide hair', 'coating just', 'hair salons', 'flimsy', 'hair ended', 'comb hair', 'purchased quality', 'manufactured product']","['Worst comb. Poor quality.', 'Awful comb design', 'Would have been better but the comb never came with the order.']"
62,37,62_dried single_dried_horrible_works dried,"['dried single', 'dried', 'horrible', 'works dried', 'old dry', 'dry', 'horrible received', 'dried used', 'horrible horrible', 'said product']","['The pen dried up within two uses even tho I used the cap', 'Be aware when buy these pens of whitening because the seller does not seal the pens. It is good that my wife check each of brush of the pen and she found out one of the pen’s brush is already wet which means somebody has used it! It is disgusting and scary especially during this pandemic.', 'One star is too much for this pen. Is absolutely a waste of money']"
63,37,63_excited wear_charms_broke product_product broke,"['excited wear', 'charms', 'broke product', 'product broke', 'really wear', 'worn times', 'wanted wear', 'stars cheaply', 'fraying', 'wear']","[""It broke within the first few hours of wearing it. Buuuuuut while it was still intact I got a lot of compliments 🤷\u200d♀️<br /><br />It wasn't like I was putting it through a lot of stress or anything, no taking it off and putting it back on a lot. The top part just kind of snapped off after a bit. Sad."", 'Broke on the first wear', 'Broke before I wore it.']"
64,36,64_cleaning_good glue_came glue_glue ll,"['cleaning', 'good glue', 'came glue', 'glue ll', 'sticky glue', 'disappointed terrible', 'waste product', 'poorly', 'stick broke', 'description disappointed']","['Ears flop down too much. Look more like puppy ears than cat ears', 'These are advertised falsely. The women in the pictures show the ears larger and actually positioned/spaced to look like cat ears. What I received more acurately depicts tiny hamster ears and are almost close enough together to be confused with bunny ears.', ""I purchased 2 mannequins to be able to display earrings because the description specifically said that you could use them for earrings.  The ears are hollow, and the plastic is thick enough that earrings won't go through unless the front and back holes are drilled in a straight line, because they follow the trajectory of the first hole.  Unfortunately, the front and back holes don't line up.  I had to re-drill the holes.  Unfortunately, one ear is too thick to take an earring, even if the holes are perfect.  Of 2 mannequins, I have 1 ear that can hold an earring.  I am giving a rating of 2 because of inaccuracies in the description.""]"
65,35,65_horrible_terrible_sucks_bad,"['horrible', 'terrible', 'sucks', 'bad', 'awful horrible', 'sucks terrible', 'horrible horrible', 'terrible horrible', 'gross horrible', 'awful']","['Horrible', 'horrible', 'Horrible']"
66,35,66_sorry_just ok_happy just_way,"['sorry', 'just ok', 'happy just', 'way', 'yuck', 'happy', 'ok just', 'okay', 'yuk', 'ok']","[""It's ok"", ""It's ok"", 'OK']"
67,34,67_bubbles_soft_make bubbles_doesn make,"['bubbles', 'soft', 'make bubbles', 'doesn make', 'small use', 'make', 'small return', 'pain', 'like small', 'wrong size']","['Too small', 'So small.', 'Too small']"
68,34,68_color runny_moisturizer_smooth creamy_come product,"['color runny', 'moisturizer', 'smooth creamy', 'come product', 'look different', 'true product', 'order did', 'works okay', 'perfume', 'clearly mixed']","[""One of the pumps is exactly as listed. However, the second pump came with the plastic fused, so it won't actually pump and then broke when I tried to raise the pump (which is how I was able to then see that it could never be raised to function, because it was flawed and the pieces were never separated). I now have one pump for two bottles. Not worth the money."", 'this did not come with the pump as pictured and I really need a pump!', ""Cons:<br />-pump was broken<br /><br />I am super disappointed that the pump on this product arrived broken. Not only was the pump on this bottle broken but when I looked in the hole where the moisturizer would come out I could see that product had already been passed through the bottle. This leads me to believe that somebody had started to use the bottle realize the pump was broken and then returned it and somehow it was resent it to another customer. Along with the  pump being broken there is no way to separate the top from the bottom… Normally the pump was broken I would just open up the container and scoop the moisturizer out with a Q-tip or something like that but there's no way for me to do that with this item.<br /><br />Review by P. Thomas<br />I received this product for a discount. This is my honest opinion of the item and is not influenced by any discount. I do not give good reviews just because I received a discount- you can look on my reviewer page to see I give a wide range of 1-5  star reviews.  I am NOT paid to leave reviews. [...]""]"
69,33,69_color bright_different product_quite dry_dries,"['color bright', 'different product', 'quite dry', 'dries', 'half dry', 'expected pretty', 'dose', 'doesn good', 'dry doesn', 'beauty blender']","['It dries up after 1st use. So it’s difficult to use as it’s half dry, 2nd time of using it and on.  Then it completely dry after 4th time.', 'Not enough moisture. Very dry.', 'Dry .']"
70,33,70_recommend star_worth using_works great_best reviews,"['recommend star', 'worth using', 'works great', 'best reviews', 'concept product', 'electric nail', 'new nail', 'does strong', 'quality ok', 'isn terrible']","['The machine works great but none of the bits fit in the drill.', 'This package, to me, is not worth the money at all. The drill is cute and works, however it does not seem to be that strong. The motor gets very hot with use, which is a bit worrisome to me. The drill bits that this drill comes with are junk, and the nail stickers I received are for children (both in size and appearance)', 'I ordered this nail drill for home use. The 1st nail drill arrived and did not even turn on.<br />I returned it and used the new drill 4 times and then it shut off during use and never worked again.<br />The drill became VERY HOT during use, even with turning it off when not in use.<br />I need a simple nail drill for home use. This is not a good product.<br />Now its too late to return so I have to purchase a new nail drill, what a waste of money and time.']"
